Entity,Code,Year,Share of people who have bribed (%)
Afghanistan,AFG,2013,46
Algeria,DZA,2013,41
Argentina,ARG,2013,13
Armenia,ARM,2013,18
Australia,AUS,2013,1
Bangladesh,BGD,2013,39
Belgium,BEL,2013,4
Bolivia,BOL,2013,36
Bosnia and Herzegovina,BIH,2013,28
Bulgaria,BGR,2013,8
Cambodia,KHM,2013,57
Cameroon,CMR,2013,62
Canada,CAN,2013,3
Chile,CHL,2013,10
Colombia,COL,2013,22
Croatia,HRV,2013,4
Cyprus,CYP,2013,19
Czech Republic,CZE,2013,15
Democratic Republic of Congo,COD,2013,46
Denmark,DNK,2013,1
Egypt,EGY,2013,36
El Salvador,SLV,2013,12
Estonia,EST,2013,6
Ethiopia,ETH,2013,44
Finland,FIN,2013,1
Georgia,GEO,2013,4
Ghana,GHA,2013,54
Greece,GRC,2013,22
Hungary,HUN,2013,12
India,IND,2013,54
Indonesia,IDN,2013,36
Iraq,IRQ,2013,29
Israel,ISR,2013,12
Italy,ITA,2013,5
Jamaica,JAM,2013,12
Japan,JPN,2013,1
Jordan,JOR,2013,37
Kazakhstan,KAZ,2013,34
Kenya,KEN,2013,70
Kosovo,OWID_KOS,2013,16
Kyrgyzstan,KGZ,2013,45
Latvia,LVA,2013,19
Liberia,LBR,2013,75
Libya,LBY,2013,62
Lithuania,LTU,2013,26
Macedonia,MKD,2013,17
Madagascar,MDG,2013,28
Malaysia,MYS,2013,3
Maldives,MDV,2013,3
Mexico,MEX,2013,33
Moldova,MDA,2013,29
Mongolia,MNG,2013,45
Morocco,MAR,2013,49
Mozambique,MOZ,2013,62
Nepal,NPL,2013,31
New Zealand,NZL,2013,3
Nigeria,NGA,2013,44
Norway,NOR,2013,3
Pakistan,PAK,2013,34
Palestine,PSE,2013,12
Papua New Guinea,PNG,2013,27
Paraguay,PRY,2013,25
Peru,PER,2013,20
Philippines,PHL,2013,12
Portugal,PRT,2013,3
Romania,ROU,2013,17
Rwanda,RWA,2013,13
Senegal,SEN,2013,57
Serbia,SRB,2013,26
Sierra Leone,SLE,2013,84
Slovakia,SVK,2013,21
Slovenia,SVN,2013,6
Solomon Islands,SLB,2013,34
South Africa,ZAF,2013,47
South Korea,KOR,2013,3
South Sudan,SSD,2013,39
Spain,ESP,2013,2
Sri Lanka,LKA,2013,19
Sudan,SDN,2013,17
Switzerland,CHE,2013,7
Taiwan,TWN,2013,36
Tanzania,TZA,2013,56
Thailand,THA,2013,18
Tunisia,TUN,2013,18
Turkey,TUR,2013,21
Uganda,UGA,2013,61
Ukraine,UKR,2013,37
United Kingdom,GBR,2013,5
United States,USA,2013,7
Uruguay,URY,2013,3
Vanuatu,VUT,2013,13
Venezuela,VEN,2013,27
Vietnam,VNM,2013,30
Yemen,YEM,2013,74
Zimbabwe,ZWE,2013,62
