"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"Banks","Total participants"," 1,253 "," 3,263 "," 3,015 "," 3,018 "," 3,354 "," 3,554 "," 3,877 "," 3,932 "," 3,988 "," 3,504 "," 3,093 "," 2,540 "," 2,085 "," 1,672 "," 2,018 "," 44,166 "," 84,326 "
"Banks","Eligible participants"," 1,514 "," 4,095 "," 3,959 "," 4,070 "," 4,362 "," 4,511 "," 4,871 "," 4,787 "," 4,726 "," 4,069 "," 3,520 "," 2,870 "," 2,329 "," 1,943 "," 2,528 "," 54,154 "," 105,254 "
"Banks","Participation rate (%)"," 82.8 "," 79.7 "," 76.2 "," 74.2 "," 76.9 "," 78.8 "," 79.6 "," 82.1 "," 84.4 "," 86.1 "," 87.9 "," 88.5 "," 89.5 "," 86.1 "," 79.8 "," 81.6 "," 80.1 "
"Barton","Total participants"," 1,061 "," 3,205 "," 3,407 "," 3,853 "," 3,631 "," 3,847 "," 4,105 "," 3,821 "," 3,449 "," 3,217 "," 2,930 "," 2,418 "," 1,979 "," 1,525 "," 1,431 "," 43,879 "," 85,363 "
"Barton","Eligible participants"," 1,309 "," 4,101 "," 4,516 "," 5,273 "," 4,909 "," 4,895 "," 5,064 "," 4,761 "," 4,314 "," 3,848 "," 3,401 "," 2,786 "," 2,339 "," 1,832 "," 1,942 "," 55,290 "," 109,371 "
"Barton","Participation rate (%)"," 81.1 "," 78.2 "," 75.4 "," 73.1 "," 74.0 "," 78.6 "," 81.1 "," 80.3 "," 79.9 "," 83.6 "," 86.2 "," 86.8 "," 84.6 "," 83.2 "," 73.7 "," 79.4 "," 78.0 "
"Bennelong","Total participants"," 1,178 "," 3,486 "," 3,120 "," 3,338 "," 3,592 "," 3,621 "," 4,124 "," 4,096 "," 3,930 "," 3,603 "," 3,005 "," 2,351 "," 1,922 "," 1,585 "," 1,992 "," 44,943 "," 86,402 "
"Bennelong","Eligible participants"," 1,398 "," 4,264 "," 3,966 "," 4,420 "," 4,724 "," 4,584 "," 4,968 "," 4,883 "," 4,594 "," 4,110 "," 3,352 "," 2,606 "," 2,145 "," 1,817 "," 2,435 "," 54,266 "," 106,375 "
"Bennelong","Participation rate (%)"," 84.3 "," 81.8 "," 78.7 "," 75.5 "," 76.0 "," 79.0 "," 83.0 "," 83.9 "," 85.5 "," 87.7 "," 89.6 "," 90.2 "," 89.6 "," 87.2 "," 81.8 "," 82.8 "," 81.2 "
"Berowra","Total participants"," 1,562 "," 3,799 "," 2,616 "," 2,401 "," 3,084 "," 3,889 "," 4,562 "," 4,479 "," 4,552 "," 3,863 "," 3,401 "," 2,961 "," 2,050 "," 1,330 "," 1,609 "," 46,158 "," 89,052 "
"Berowra","Eligible participants"," 1,823 "," 4,450 "," 3,182 "," 2,977 "," 3,809 "," 4,738 "," 5,430 "," 5,183 "," 5,122 "," 4,300 "," 3,709 "," 3,182 "," 2,221 "," 1,479 "," 1,943 "," 53,548 "," 105,090 "
"Berowra","Participation rate (%)"," 85.7 "," 85.4 "," 82.2 "," 80.7 "," 81.0 "," 82.1 "," 84.0 "," 86.4 "," 88.9 "," 89.8 "," 91.7 "," 93.1 "," 92.3 "," 89.9 "," 82.8 "," 86.2 "," 84.7 "
"Blaxland","Total participants"," 1,216 "," 3,631 "," 3,412 "," 3,401 "," 3,184 "," 3,197 "," 3,395 "," 3,314 "," 3,462 "," 3,079 "," 2,593 "," 2,018 "," 1,527 "," 1,189 "," 1,382 "," 40,000 "," 78,552 "
"Blaxland","Eligible participants"," 1,595 "," 4,854 "," 4,813 "," 4,843 "," 4,501 "," 4,341 "," 4,502 "," 4,279 "," 4,340 "," 3,782 "," 3,082 "," 2,375 "," 1,823 "," 1,451 "," 1,823 "," 52,404 "," 104,435 "
"Blaxland","Participation rate (%)"," 76.2 "," 74.8 "," 70.9 "," 70.2 "," 70.7 "," 73.6 "," 75.4 "," 77.4 "," 79.8 "," 81.4 "," 84.1 "," 85.0 "," 83.8 "," 81.9 "," 75.8 "," 76.3 "," 75.2 "
"Bradfield","Total participants"," 1,615 "," 3,629 "," 2,557 "," 2,481 "," 3,303 "," 3,899 "," 4,777 "," 4,458 "," 4,061 "," 3,361 "," 3,265 "," 2,981 "," 2,285 "," 1,777 "," 2,225 "," 46,674 "," 88,810 "
"Bradfield","Eligible participants"," 1,833 "," 4,276 "," 3,109 "," 3,265 "," 4,261 "," 4,817 "," 5,636 "," 5,205 "," 4,646 "," 3,824 "," 3,639 "," 3,253 "," 2,487 "," 1,990 "," 2,734 "," 54,975 "," 106,071 "
"Bradfield","Participation rate (%)"," 88.1 "," 84.9 "," 82.2 "," 76.0 "," 77.5 "," 80.9 "," 84.8 "," 85.6 "," 87.4 "," 87.9 "," 89.7 "," 91.6 "," 91.9 "," 89.3 "," 81.4 "," 84.9 "," 83.7 "
"Calare","Total participants"," 1,255 "," 3,017 "," 3,108 "," 3,218 "," 3,080 "," 3,485 "," 3,959 "," 3,991 "," 4,430 "," 4,133 "," 4,059 "," 3,487 "," 2,422 "," 1,755 "," 1,615 "," 47,014 "," 90,155 "
