"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Males.b.","Total.Persons"
"Banks","Total participants"," 1,102 "," 3,098 "," 2,918 "," 2,895 "," 2,982 "," 3,172 "," 3,477 "," 3,523 "," 3,764 "," 3,297 "," 2,851 "," 2,366 "," 1,636 "," 1,352 "," 1,247 "," 39,680 "," 84,326 "
"Banks","Eligible participants"," 1,431 "," 4,224 "," 4,036 "," 4,188 "," 4,197 "," 4,239 "," 4,419 "," 4,471 "," 4,621 "," 3,948 "," 3,257 "," 2,631 "," 1,836 "," 1,531 "," 1,499 "," 50,528 "," 105,254 "
"Banks","Participation rate (%)"," 77.0 "," 73.3 "," 72.3 "," 69.1 "," 71.1 "," 74.8 "," 78.7 "," 78.8 "," 81.5 "," 83.5 "," 87.5 "," 89.9 "," 89.1 "," 88.3 "," 83.2 "," 78.5 "," 80.1 "
"Barton","Total participants"," 977 "," 3,047 "," 3,231 "," 3,678 "," 3,667 "," 3,673 "," 3,744 "," 3,610 "," 3,291 "," 2,948 "," 2,720 "," 2,293 "," 1,775 "," 1,323 "," 1,111 "," 41,088 "," 85,363 "
"Barton","Eligible participants"," 1,278 "," 4,186 "," 4,594 "," 5,305 "," 5,176 "," 4,935 "," 4,852 "," 4,562 "," 4,162 "," 3,670 "," 3,245 "," 2,685 "," 1,999 "," 1,599 "," 1,368 "," 53,616 "," 109,371 "
"Barton","Participation rate (%)"," 76.4 "," 72.8 "," 70.3 "," 69.3 "," 70.8 "," 74.4 "," 77.2 "," 79.1 "," 79.1 "," 80.3 "," 83.8 "," 85.4 "," 88.8 "," 82.7 "," 81.2 "," 76.6 "," 78.0 "
"Bennelong","Total participants"," 1,177 "," 3,356 "," 3,106 "," 3,245 "," 3,404 "," 3,405 "," 3,563 "," 3,742 "," 3,657 "," 3,301 "," 2,863 "," 2,124 "," 1,620 "," 1,221 "," 1,195 "," 40,979 "," 86,402 "
"Bennelong","Eligible participants"," 1,488 "," 4,492 "," 4,316 "," 4,580 "," 4,792 "," 4,463 "," 4,456 "," 4,586 "," 4,367 "," 3,830 "," 3,239 "," 2,351 "," 1,785 "," 1,371 "," 1,422 "," 51,538 "," 106,375 "
"Bennelong","Participation rate (%)"," 79.1 "," 74.7 "," 72.0 "," 70.9 "," 71.0 "," 76.3 "," 80.0 "," 81.6 "," 83.7 "," 86.2 "," 88.4 "," 90.3 "," 90.8 "," 89.1 "," 84.0 "," 79.5 "," 81.2 "
"Berowra","Total participants"," 1,523 "," 3,767 "," 2,687 "," 2,241 "," 2,594 "," 3,439 "," 3,852 "," 4,073 "," 4,209 "," 3,736 "," 3,235 "," 2,799 "," 1,841 "," 1,212 "," 1,085 "," 42,293 "," 89,052 "
"Berowra","Eligible participants"," 1,916 "," 4,808 "," 3,541 "," 2,934 "," 3,397 "," 4,405 "," 4,760 "," 4,832 "," 4,891 "," 4,221 "," 3,569 "," 3,033 "," 1,999 "," 1,308 "," 1,225 "," 50,839 "," 105,090 "
"Berowra","Participation rate (%)"," 79.5 "," 78.3 "," 75.9 "," 76.4 "," 76.4 "," 78.1 "," 80.9 "," 84.3 "," 86.1 "," 88.5 "," 90.6 "," 92.3 "," 92.1 "," 92.7 "," 88.6 "," 83.2 "," 84.7 "
"Blaxland","Total participants"," 1,152 "," 3,530 "," 3,204 "," 3,216 "," 3,161 "," 3,108 "," 3,196 "," 3,328 "," 3,388 "," 2,965 "," 2,622 "," 2,182 "," 1,428 "," 950 "," 891 "," 38,321 "," 78,552 "
"Blaxland","Eligible participants"," 1,555 "," 4,968 "," 4,653 "," 4,764 "," 4,648 "," 4,424 "," 4,398 "," 4,443 "," 4,451 "," 3,772 "," 3,119 "," 2,585 "," 1,692 "," 1,132 "," 1,142 "," 51,746 "," 104,435 "
"Blaxland","Participation rate (%)"," 74.1 "," 71.1 "," 68.9 "," 67.5 "," 68.0 "," 70.3 "," 72.7 "," 74.9 "," 76.1 "," 78.6 "," 84.1 "," 84.4 "," 84.4 "," 83.9 "," 78.0 "," 74.1 "," 75.2 "
"Bradfield","Total participants"," 1,503 "," 3,384 "," 2,556 "," 2,197 "," 2,897 "," 3,432 "," 4,034 "," 4,025 "," 3,914 "," 3,091 "," 2,847 "," 2,636 "," 1,976 "," 1,482 "," 1,545 "," 41,519 "," 88,810 "
"Bradfield","Eligible participants"," 1,826 "," 4,326 "," 3,395 "," 3,121 "," 3,898 "," 4,398 "," 4,987 "," 4,790 "," 4,540 "," 3,548 "," 3,193 "," 2,892 "," 2,130 "," 1,610 "," 1,740 "," 50,394 "," 106,071 "
"Bradfield","Participation rate (%)"," 82.3 "," 78.2 "," 75.3 "," 70.4 "," 74.3 "," 78.0 "," 80.9 "," 84.0 "," 86.2 "," 87.1 "," 89.2 "," 91.1 "," 92.8 "," 92.0 "," 88.8 "," 82.4 "," 83.7 "
"Calare","Total participants"," 1,163 "," 2,777 "," 2,764 "," 2,835 "," 2,782 "," 2,988 "," 3,615 "," 3,655 "," 4,206 "," 3,867 "," 3,981 "," 3,380 "," 2,214 "," 1,398 "," 1,022 "," 42,647 "," 90,155 "
"Calare","Eligible participants"," 1,643 "," 4,398 "," 4,399 "," 4,328 "," 4,126 "," 4,327 "," 4,910 "," 4,753 "," 5,187 "," 4,596 "," 4,529 "," 3,792 "," 2,500 "," 1,579 "," 1,233 "," 56,300 "," 115,497 "
"Calare","Participation rate (%)"," 70.8 "," 63.1 "," 62.8 "," 65.5 "," 67.4 "," 69.1 "," 73.6 "," 76.9 "," 81.1 "," 84.1 "," 87.9 "," 89.1 "," 88.6 "," 88.5 "," 82.9 "," 75.7 "," 78.1 "
"Chifley","Total participants"," 1,287 "," 3,553 "," 3,283 "," 3,256 "," 3,402 "," 3,301 "," 3,438 "," 3,378 "," 3,388 "," 2,954 "," 2,655 "," 1,963 "," 1,152 "," 692 "," 468 "," 38,170 "," 79,836 "
"Chifley","Eligible participants"," 1,828 "," 5,459 "," 5,111 "," 5,205 "," 5,302 "," 4,757 "," 4,746 "," 4,400 "," 4,280 "," 3,517 "," 3,090 "," 2,257 "," 1,331 "," 824 "," 609 "," 52,716 "," 108,016 "
"Chifley","Participation rate (%)"," 70.4 "," 65.1 "," 64.2 "," 62.6 "," 64.2 "," 69.4 "," 72.4 "," 76.8 "," 79.2 "," 84.0 "," 85.9 "," 87.0 "," 86.6 "," 84.0 "," 76.8 "," 72.4 "," 73.9 "
"Cook","Total participants"," 1,070 "," 2,871 "," 2,710 "," 2,771 "," 2,857 "," 3,249 "," 3,671 "," 3,495 "," 3,579 "," 3,280 "," 3,021 "," 2,712 "," 1,991 "," 1,496 "," 1,419 "," 40,192 "," 86,538 "
"Cook","Eligible participants"," 1,383 "," 3,855 "," 3,818 "," 3,815 "," 3,908 "," 4,317 "," 4,746 "," 4,377 "," 4,321 "," 3,789 "," 3,402 "," 2,985 "," 2,153 "," 1,655 "," 1,663 "," 50,187 "," 105,251 "
"Cook","Participation rate (%)"," 77.4 "," 74.5 "," 71.0 "," 72.6 "," 73.1 "," 75.3 "," 77.3 "," 79.8 "," 82.8 "," 86.6 "," 88.8 "," 90.9 "," 92.5 "," 90.4 "," 85.3 "," 80.1 "," 82.2 "
"Cowper","Total participants"," 1,012 "," 2,333 "," 2,251 "," 2,284 "," 2,322 "," 2,732 "," 3,221 "," 3,538 "," 4,274 "," 4,692 "," 4,908 "," 4,290 "," 2,972 "," 1,975 "," 1,650 "," 44,454 "," 96,125 "
"Cowper","Eligible participants"," 1,462 "," 3,830 "," 3,674 "," 3,489 "," 3,489 "," 3,927 "," 4,522 "," 4,619 "," 5,378 "," 5,625 "," 5,568 "," 4,732 "," 3,280 "," 2,230 "," 1,990 "," 57,815 "," 121,322 "
"Cowper","Participation rate (%)"," 69.2 "," 60.9 "," 61.3 "," 65.5 "," 66.6 "," 69.6 "," 71.2 "," 76.6 "," 79.5 "," 83.4 "," 88.1 "," 90.7 "," 90.6 "," 88.6 "," 82.9 "," 76.9 "," 79.2 "
"Cunningham","Total participants"," 1,323 "," 3,947 "," 3,427 "," 3,218 "," 3,166 "," 3,469 "," 3,656 "," 3,708 "," 3,961 "," 3,589 "," 3,174 "," 2,685 "," 1,962 "," 1,387 "," 1,229 "," 43,901 "," 93,014 "
"Cunningham","Eligible participants"," 1,718 "," 5,360 "," 4,774 "," 4,387 "," 4,328 "," 4,613 "," 4,704 "," 4,620 "," 4,769 "," 4,097 "," 3,558 "," 2,972 "," 2,159 "," 1,578 "," 1,472 "," 55,109 "," 113,621 "
"Cunningham","Participation rate (%)"," 77.0 "," 73.6 "," 71.8 "," 73.4 "," 73.2 "," 75.2 "," 77.7 "," 80.3 "," 83.1 "," 87.6 "," 89.2 "," 90.3 "," 90.9 "," 87.9 "," 83.5 "," 79.7 "," 81.9 "
