"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Age.and.or.gender.nfd..b.","Total.Persons"
"Banks","Total participants"," 2,355 "," 6,361 "," 5,933 "," 5,913 "," 6,336 "," 6,726 "," 7,354 "," 7,455 "," 7,752 "," 6,801 "," 5,944 "," 4,906 "," 3,721 "," 3,024 "," 3,265 "," 480 "," 84,326 "
"Banks","Eligible participants"," 2,945 "," 8,319 "," 7,995 "," 8,258 "," 8,559 "," 8,750 "," 9,290 "," 9,258 "," 9,347 "," 8,017 "," 6,777 "," 5,501 "," 4,165 "," 3,474 "," 4,027 "," 572 "," 105,254 "
"Banks","Participation rate (%)"," 80.0 "," 76.5 "," 74.2 "," 71.6 "," 74.0 "," 76.9 "," 79.2 "," 80.5 "," 82.9 "," 84.8 "," 87.7 "," 89.2 "," 89.3 "," 87.0 "," 81.1 "," 83.9 "," 80.1 "
"Barton","Total participants"," 2,038 "," 6,252 "," 6,638 "," 7,531 "," 7,298 "," 7,520 "," 7,849 "," 7,431 "," 6,740 "," 6,165 "," 5,650 "," 4,711 "," 3,754 "," 2,848 "," 2,542 "," 396 "," 85,363 "
"Barton","Eligible participants"," 2,587 "," 8,287 "," 9,110 "," 10,578 "," 10,085 "," 9,830 "," 9,916 "," 9,323 "," 8,476 "," 7,518 "," 6,646 "," 5,471 "," 4,338 "," 3,431 "," 3,310 "," 465 "," 109,371 "
"Barton","Participation rate (%)"," 78.8 "," 75.4 "," 72.9 "," 71.2 "," 72.4 "," 76.5 "," 79.2 "," 79.7 "," 79.5 "," 82.0 "," 85.0 "," 86.1 "," 86.5 "," 83.0 "," 76.8 "," 85.2 "," 78.0 "
"Bennelong","Total participants"," 2,355 "," 6,842 "," 6,226 "," 6,583 "," 6,996 "," 7,026 "," 7,687 "," 7,838 "," 7,587 "," 6,904 "," 5,868 "," 4,475 "," 3,542 "," 2,806 "," 3,187 "," 480 "," 86,402 "
"Bennelong","Eligible participants"," 2,886 "," 8,756 "," 8,282 "," 9,000 "," 9,516 "," 9,047 "," 9,424 "," 9,469 "," 8,961 "," 7,940 "," 6,591 "," 4,957 "," 3,930 "," 3,188 "," 3,857 "," 571 "," 106,375 "
"Bennelong","Participation rate (%)"," 81.6 "," 78.1 "," 75.2 "," 73.1 "," 73.5 "," 77.7 "," 81.6 "," 82.8 "," 84.7 "," 87.0 "," 89.0 "," 90.3 "," 90.1 "," 88.0 "," 82.6 "," 84.1 "," 81.2 "
"Berowra","Total participants"," 3,085 "," 7,566 "," 5,303 "," 4,642 "," 5,678 "," 7,328 "," 8,414 "," 8,552 "," 8,761 "," 7,599 "," 6,636 "," 5,760 "," 3,891 "," 2,542 "," 2,694 "," 601 "," 89,052 "
"Berowra","Eligible participants"," 3,739 "," 9,258 "," 6,723 "," 5,911 "," 7,206 "," 9,143 "," 10,190 "," 10,015 "," 10,013 "," 8,521 "," 7,278 "," 6,215 "," 4,220 "," 2,787 "," 3,168 "," 703 "," 105,090 "
"Berowra","Participation rate (%)"," 82.5 "," 81.7 "," 78.9 "," 78.5 "," 78.8 "," 80.1 "," 82.6 "," 85.4 "," 87.5 "," 89.2 "," 91.2 "," 92.7 "," 92.2 "," 91.2 "," 85.0 "," 85.5 "," 84.7 "
"Blaxland","Total participants"," 2,368 "," 7,161 "," 6,616 "," 6,617 "," 6,345 "," 6,305 "," 6,591 "," 6,642 "," 6,850 "," 6,044 "," 5,215 "," 4,200 "," 2,955 "," 2,139 "," 2,273 "," 231 "," 78,552 "
"Blaxland","Eligible participants"," 3,150 "," 9,822 "," 9,466 "," 9,607 "," 9,149 "," 8,765 "," 8,900 "," 8,722 "," 8,791 "," 7,554 "," 6,201 "," 4,960 "," 3,515 "," 2,583 "," 2,965 "," 285 "," 104,435 "
"Blaxland","Participation rate (%)"," 75.2 "," 72.9 "," 69.9 "," 68.9 "," 69.4 "," 71.9 "," 74.1 "," 76.2 "," 77.9 "," 80.0 "," 84.1 "," 84.7 "," 84.1 "," 82.8 "," 76.7 "," 81.1 "," 75.2 "
"Bradfield","Total participants"," 3,118 "," 7,013 "," 5,113 "," 4,678 "," 6,200 "," 7,331 "," 8,811 "," 8,483 "," 7,975 "," 6,452 "," 6,112 "," 5,617 "," 4,261 "," 3,259 "," 3,770 "," 617 "," 88,810 "
"Bradfield","Eligible participants"," 3,659 "," 8,602 "," 6,504 "," 6,386 "," 8,159 "," 9,215 "," 10,623 "," 9,995 "," 9,186 "," 7,372 "," 6,832 "," 6,145 "," 4,617 "," 3,600 "," 4,474 "," 702 "," 106,071 "
"Bradfield","Participation rate (%)"," 85.2 "," 81.5 "," 78.6 "," 73.3 "," 76.0 "," 79.6 "," 82.9 "," 84.9 "," 86.8 "," 87.5 "," 89.5 "," 91.4 "," 92.3 "," 90.5 "," 84.3 "," 87.9 "," 83.7 "
"Calare","Total participants"," 2,418 "," 5,794 "," 5,872 "," 6,053 "," 5,862 "," 6,473 "," 7,574 "," 7,646 "," 8,636 "," 8,000 "," 8,040 "," 6,867 "," 4,636 "," 3,153 "," 2,637 "," 494 "," 90,155 "
"Calare","Eligible participants"," 3,270 "," 8,783 "," 8,836 "," 8,775 "," 8,363 "," 8,841 "," 9,915 "," 9,628 "," 10,354 "," 9,344 "," 9,042 "," 7,640 "," 5,229 "," 3,602 "," 3,281 "," 594 "," 115,497 "
"Calare","Participation rate (%)"," 73.9 "," 66.0 "," 66.5 "," 69.0 "," 70.1 "," 73.2 "," 76.4 "," 79.4 "," 83.4 "," 85.6 "," 88.9 "," 89.9 "," 88.7 "," 87.5 "," 80.4 "," 83.2 "," 78.1 "
"Chifley","Total participants"," 2,581 "," 7,387 "," 6,712 "," 6,918 "," 6,964 "," 6,780 "," 7,114 "," 6,950 "," 6,940 "," 6,168 "," 5,488 "," 4,062 "," 2,526 "," 1,593 "," 1,258 "," 395 "," 79,836 "
"Chifley","Eligible participants"," 3,595 "," 10,965 "," 10,274 "," 10,642 "," 10,506 "," 9,559 "," 9,582 "," 8,913 "," 8,581 "," 7,341 "," 6,373 "," 4,674 "," 2,939 "," 1,909 "," 1,669 "," 494 "," 108,016 "
"Chifley","Participation rate (%)"," 71.8 "," 67.4 "," 65.3 "," 65.0 "," 66.3 "," 70.9 "," 74.2 "," 78.0 "," 80.9 "," 84.0 "," 86.1 "," 86.9 "," 85.9 "," 83.4 "," 75.4 "," 80.0 "," 73.9 "
"Cook","Total participants"," 2,241 "," 5,970 "," 5,893 "," 5,908 "," 6,066 "," 6,813 "," 7,692 "," 7,331 "," 7,421 "," 6,930 "," 6,408 "," 5,745 "," 4,298 "," 3,404 "," 3,738 "," 680 "," 86,538 "
"Cook","Eligible participants"," 2,792 "," 7,645 "," 7,787 "," 7,753 "," 7,947 "," 8,818 "," 9,681 "," 8,913 "," 8,796 "," 7,896 "," 7,157 "," 6,310 "," 4,680 "," 3,796 "," 4,472 "," 808 "," 105,251 "
"Cook","Participation rate (%)"," 80.3 "," 78.1 "," 75.7 "," 76.2 "," 76.3 "," 77.3 "," 79.5 "," 82.3 "," 84.4 "," 87.8 "," 89.5 "," 91.0 "," 91.8 "," 89.7 "," 83.6 "," 84.2 "," 82.2 "
"Cowper","Total participants"," 2,124 "," 4,860 "," 4,805 "," 4,841 "," 5,069 "," 5,968 "," 7,151 "," 7,693 "," 9,483 "," 9,865 "," 10,109 "," 8,922 "," 6,244 "," 4,392 "," 4,101 "," 498 "," 96,125 "
"Cowper","Eligible participants"," 2,978 "," 7,546 "," 7,324 "," 7,158 "," 7,260 "," 8,193 "," 9,451 "," 9,729 "," 11,511 "," 11,515 "," 11,322 "," 9,792 "," 6,883 "," 4,971 "," 5,088 "," 601 "," 121,322 "
"Cowper","Participation rate (%)"," 71.3 "," 64.4 "," 65.6 "," 67.6 "," 69.8 "," 72.8 "," 75.7 "," 79.1 "," 82.4 "," 85.7 "," 89.3 "," 91.1 "," 90.7 "," 88.4 "," 80.6 "," 82.9 "," 79.2 "
"Cunningham","Total participants"," 2,810 "," 8,203 "," 7,041 "," 6,707 "," 6,564 "," 7,276 "," 7,611 "," 7,723 "," 8,199 "," 7,454 "," 6,567 "," 5,610 "," 4,249 "," 3,084 "," 3,142 "," 774 "," 93,014 "
"Cunningham","Eligible participants"," 3,517 "," 10,597 "," 9,334 "," 8,739 "," 8,611 "," 9,299 "," 9,443 "," 9,320 "," 9,626 "," 8,455 "," 7,314 "," 6,221 "," 4,746 "," 3,566 "," 3,919 "," 914 "," 113,621 "
"Cunningham","Participation rate (%)"," 79.9 "," 77.4 "," 75.4 "," 76.7 "," 76.2 "," 78.2 "," 80.6 "," 82.9 "," 85.2 "," 88.2 "," 89.8 "," 90.2 "," 89.5 "," 86.5 "," 80.2 "," 84.7 "," 81.9 "
"Dobell","Total participants"," 2,664 "," 6,660 "," 6,119 "," 6,164 "," 6,065 "," 6,518 "," 7,421 "," 7,269 "," 7,975 "," 7,629 "," 7,459 "," 6,461 "," 4,766 "," 3,304 "," 3,440 "," 803 "," 90,717 "
"Dobell","Eligible participants"," 3,463 "," 9,405 "," 8,764 "," 8,626 "," 8,604 "," 8,882 "," 9,711 "," 9,126 "," 9,566 "," 8,851 "," 8,352 "," 7,191 "," 5,288 "," 3,769 "," 4,380 "," 1,014 "," 114,992 "
