cat,gender,y_2012,y_2013,y_2014,y_2015,y_2016
A10,M,158,117,138,167,148
A20,M,19060,21646,21954,22469,25075
A30,M,2714,2899,3117,3148,3675
A40,M,238,219,242,250,293
A50,M,2030,1804,1472,1682,2068
A60,M,51,67,58,66,54
A70,M,3438,4130,4275,4513,4962
A80,M,1762,1838,1985,2050,2514
B10,M,726,925,937,888,1170
B20,M,7566,7912,7615,7957,9040
B30,M,8906,8429,8504,8516,10514
B40,M,20499,21595,20086,21676,27069
B50,M,3708,4320,4302,4635,5207
B60,M,7,6,6,8,5
C10,M,2147,2561,2578,2867,2601
C20,M,836,985,936,916,894
C30,M,6687,7260,7482,8002,7802
C90,M,NaN,5,NaN,NaN,0
D10,M,4700,5489,5699,6813,6935
D20,M,16950,15726,13795,11631,10399
D30,M,897,830,704,737,909
D40,M,11,18,9,11,9
E10,M,2215,2212,2035,2009,2687
E20,M,9037,11119,15836,16784,18891
F10,M,9,6,10,12,4
F20,M,190,179,175,153,253
F30,M,426,259,219,164,141
F90,M,121,138,112,132,84
A10,F,26,21,23,25,32
A20,F,4885,5429,5650,5846,6467
A30,F,99,122,110,116,162
A40,F,37,33,40,33,32
A50,F,307,249,208,183,228
A60,F,10,15,12,10,6
A70,F,519,695,660,758,837
A80,F,297,304,361,354,439
B10,F,81,158,177,168,175
B20,F,1304,1488,1447,1532,1893
B30,F,1007,1235,1091,1230,1471
B40,F,8899,9528,7686,8392,9754
B50,F,1367,1652,1803,1919,2099
B60,F,NaN,0,NaN,NaN,NaN
C10,F,457,530,636,767,730
C20,F,213,218,228,270,238
C30,F,1370,1600,1871,2209,2380
C90,F,NaN,0,NaN,NaN,6
D10,F,576,713,837,1001,1156
D20,F,2105,2085,1944,1657,1467
D30,F,177,197,178,187,267
D40,F,NaN,4,0,5,NaN
E10,F,453,413,373,434,536
E20,F,2245,2791,4134,4428,5077
F10,F,NaN,0,0,0,0
F20,F,26,17,20,19,18
F30,F,108,76,64,48,36
F90,F,23,27,29,21,21
