gender,AgeGroup,Indigenous,y_2012,y_2013,y_2014,y_2015,y_2016
M,10–14,yes,576,570,512,559,428
M,15–19,yes,1283,1384,1255,1475,1809
M,20–24,yes,1017,1120,1223,1081,1342
M,25–29,yes,876,881,874,1043,1217
M,30–34,yes,633,702,854,967,1109
M,35–39,yes,576,573,552,700,746
M,40–44,yes,531,667,565,609,684
M,45–49,yes,226,272,270,295,402
M,50–54,yes,120,127,160,193,180
M,55–59,yes,39,45,65,71,51
M,60–64,yes,20,34,18,20,22
M,65 years and over,yes,9,14,8,10,16
F,10–14,yes,188,149,224,272,284
F,15–19,yes,462,396,503,414,494
F,20–24,yes,359,399,403,412,435
F,25–29,yes,284,305,339,460,541
F,30–34,yes,284,296,370,486,363
F,35–39,yes,204,261,320,318,359
F,40–44,yes,175,137,113,181,208
F,45–49,yes,92,95,137,99,135
F,50–54,yes,45,57,83,102,88
F,55–59,yes,11,17,17,14,22
F,60–64,yes,NaN,NaN,7,6,NaN
F,65 years and over,yes,0,NaN,NaN,5,4
M,10–14,no,3204,2846,2572,2679,2781
M,15–19,no,17796,17049,16005,14764,14602
M,20–24,no,19309,19102,18547,17405,18710
M,25–29,no,14516,15871,16092,16524,18774
M,30–34,no,12460,13853,14193,15092,16770
M,35–39,no,10255,11210,11572,12288,14293
M,40–44,no,8106,9166,9077,9711,11099
M,45–49,no,4600,5438,5949,6182,7388
M,50–54,no,2775,3184,3198,3480,3972
M,55–59,no,1629,1723,1778,1883,1837
M,60–64,no,822,1041,978,1083,1099
M,65 years and over,no,1005,1253,1211,1180,1498
F,10–14,no,1094,908,775,835,903
F,15–19,no,3825,3737,3334,2920,3171
F,20–24,no,3201,3691,3635,3740,4019
F,25–29,no,2905,3103,3255,3922,4198
F,30–34,no,2564,3185,3027,3340,3813
F,35–39,no,2226,2540,2428,2586,2927
F,40–44,no,1881,2158,2243,2288,2517
F,45–49,no,1177,1362,1394,1330,1626
F,50–54,no,637,810,782,742,897
F,55–59,no,353,426,400,450,378
F,60–64,no,224,241,203,219,206
F,65 years and over,no,238,308,235,206,270
M,10–14,unknown,616,632,821,880,949
M,15–19,unknown,2456,2649,3104,3673,4098
M,20–24,unknown,2213,2487,2742,2908,3478
M,25–29,unknown,1681,1770,2077,2183,2621
M,30–34,unknown,1213,1584,1764,2042,2633
M,35–39,unknown,1063,1359,1575,1926,2282
M,40–44,unknown,929,1188,1382,1699,2010
M,45–49,unknown,690,919,1095,1107,1492
M,50–54,unknown,438,506,690,783,1000
M,55–59,unknown,277,329,330,433,518
M,60–64,unknown,177,212,209,236,301
M,65 years and over,unknown,229,244,256,330,365
F,10–14,unknown,249,242,288,318,409
F,15–19,unknown,794,862,856,1032,1194
F,20–24,unknown,635,731,778,910,1170
F,25–29,unknown,448,608,728,903,1041
F,30–34,unknown,419,495,618,661,896
F,35–39,unknown,368,487,505,618,776
F,40–44,unknown,369,471,473,567,676
F,45–49,unknown,240,313,364,384,497
F,50–54,unknown,169,194,211,260,270
F,55–59,unknown,78,130,94,121,140
F,60–64,unknown,59,58,66,74,69
F,65 years and over,unknown,82,117,76,80,117
