gender,AgeGroup,y_2012,y_2013,y_2014,y_2015,y_2016
M,Oct-14,120,125,133,117,149
M,15-19,346,367,423,349,447
M,20-24,303,308,362,367,426
M,25-29,271,304,302,324,351
M,30-34,248,251,276,320,365
M,35-39,247,247,291,263,326
M,40-44,258,278,262,274,302
M,45-49,209,231,233,217,279
M,50-54,194,181,181,184,218
M,55-59,138,155,167,149,185
M,60-64,116,143,139,185,170
M,65 years and over,241,283,315,366,414
F,Oct-14,10,22,11,15,25
F,15-19,24,20,17,27,29
F,20-24,5,16,15,5,11
F,25-29,8,10,11,13,17
F,30-34,5,11,5,10,12
F,35-39,14,7,10,7,13
F,40-44,13,8,10,10,15
F,45-49,7,7,12,6,15
F,50-54,NaN,6,11,6,9
F,55-59,7,4,4,6,8
F,60-64,NaN,NaN,NaN,NaN,NaN
F,65 years and over,NaN,7,NaN,5,5
