gender,AgeGroup,y_2012,y_2013,y_2014,y_2015,y_2016
M,0–4,61,50,48,67,74
M,5–9,157,157,176,189,228
M,Oct-14,186,166,177,205,284
M,15-19,137,118,154,161,186
M,20-24,62,70,69,72,92
M,25-29,41,51,41,73,73
M,30-34,40,49,56,50,51
M,35-39,44,56,57,67,71
M,40-44,58,64,75,88,78
M,45-49,40,57,74,73,98
M,50-54,29,44,60,80,79
M,55-59,20,34,49,38,47
M,60-64,13,11,30,35,35
M,65 years and over,8,17,28,28,49
F,0–4,135,154,129,131,159
F,5–9,255,293,289,316,327
F,Oct-14,761,770,770,887,1026
F,15-19,1083,1099,1099,1184,1496
F,20-24,587,624,582,595,744
F,25-29,359,390,422,462,574
F,30-34,291,318,324,356,410
F,35-39,240,242,255,295,355
F,40-44,223,254,278,293,310
F,45-49,130,181,231,210,281
F,50-54,92,107,128,146,185
F,55-59,59,82,99,103,87
F,60-64,26,31,52,55,53
F,65 years and over,71,80,91,75,118
